A_1_1.fq.sorted.bam	B_2_1.fq.sorted.bam	C_3_1.fq.sorted.bam	D_4_1.fq.sorted.bam	E_5_1.fq.sorted.bam	F_6_1.fq.sorted.bam	R4_1.fq.sorted.bam	R4S_1.fq.sorted.bam	R5_1.fq.sorted.bam	R5S_1.fq.sorted.bam	R6_1.fq.sorted.bam	R6S_1.fq.sorted.bam
HP_RS00005	1669	2831	1728	892	1315	1313	1886	1954	1227	1784	1550	1815
HP_RS00010	1239	1856	1430	648	865	919	1500	1616	920	1621	1372	1551
HP_RS00015	1537	2746	1457	1033	1378	1681	1988	2058	1238	1971	1679	1810
HP_RS00020	1009	1381	922	1644	2364	2392	2068	1980	1230	1792	1517	1621
HP_RS00025	929	912	944	909	774	790	1176	1291	710	1259	971	1231
HP_RS00030	1992	2343	1804	2585	3415	3266	2030	1971	1395	1963	1796	2020
HP_RS00035	566	704	544	2014	4270	3980	1382	716	706	810	904	777
HP_RS00040	376	424	507	3382	6570	6056	3263	1580	1687	1642	1687	1711
HP_RS00045	423	480	590	3100	7363	6933	4757	2173	2242	2217	2098	2173
HP_RS00050	302	366	432	1847	5178	4860	3746	1785	1805	1756	1526	1856
HP_RS00055	177	217	275	994	3475	3286	2457	1114	1290	1030	933	1279
HP_RS00060	8861	19508	7556	5723	6836	9943	13372	13831	8943	13935	12287	13312
HP_RS00065	24504	113495	17936	3541	2341	5010	8334	5583	4777	5339	7005	5332
HP_RS00070	20538	56325	14883	1151	1860	3161	8126	6139	4693	5566	6992	5165
HP_RS00075	1195	1641	1067	1451	1692	1757	2001	1921	1176	1629	1417	1611
HP_RS00080	2025	2659	2221	2082	2537	2667	2278	2093	1308	2037	1816	1790
HP_RS00085	4314	6474	4396	2399	2773	3192	4741	4221	2718	3766	3613	3452
HP_RS00090	158	190	152	1172	1129	1057	1448	1774	959	1822	1274	1845
HP_RS00095	153	197	156	1428	1386	1257	1492	1774	1092	1763	1345	2063
HP_RS00100	336	492	332	2877	3315	2951	2844	3011	1699	2873	2238	3002
HP_RS00105	78	121	61	127	273	296	253	185	119	221	155	154
HP_RS00110	674	799	570	1756	1671	1752	1801	1912	1163	1716	1341	1756
HP_RS00115	4413	5591	4243	4858	3685	3720	5071	5743	3121	5473	3997	5327
HP_RS00120	3644	5165	4178	3131	2707	2866	4350	4203	2517	3737	3364	3817
HP_RS00125	1087	1355	1150	663	907	993	1280	1047	736	957	958	930
HP_RS00130	584	754	483	1168	1568	1588	1346	1361	874	1468	900	1496
HP_RS00135	1286	1597	1175	7942	6290	7475	1697	1118	1049	1076	1453	1026
HP_RS00140	798	1137	684	727	844	854	793	549	555	517	740	497
HP_RS00145	20632	27291	18506	20848	14569	15315	13958	11318	9899	11506	13205	11440
HP_RS00150	40132	43846	37653	30801	20708	21996	43545	45720	29977	45430	41242	45746
HP_RS00155	17890	26439	16911	16917	9975	11044	18773	19161	13547	19128	18080	19932
HP_RS00160	5522	7512	5222	9493	6529	6699	7494	7061	5317	6810	7034	6945
HP_RS00165	937	1230	884	3265	2551	2499	1319	1094	847	1042	1163	1085
HP_RS00170	5949	7418	6009	5377	3783	4080	5877	6095	4061	5851	5053	5865
HP_RS00175	5932	7263	5979	5549	3290	3531	5165	5182	3707	4957	4562	5462
HP_RS00180	8216	11691	8207	6060	4898	5400	10251	9981	6503	9554	8819	9389
HP_RS00185	2023	3095	2263	2014	1654	1999	4132	3711	2535	3431	3516	3234
HP_RS00190	2340	3184	2732	1854	1783	2143	5263	4732	3155	4293	4377	4052
HP_RS00195	3261	5274	3347	2702	2995	3355	6109	5223	3683	4344	4848	4675
HP_RS00200	728	1105	658	1625	1270	1302	1865	1467	1094	1376	1305	1395
